id,title,subtitle,metadata
64,Minimalism in UX: the blessing of no choices,How minimum choices enhance users’ peace of mind.,{'title': 'Minimalism in UX: the blessing of no\xa0choices How minimum choices enhance users’ peace of\xa0mind.'}
65,Regenerative UX,,{'title': 'Regenerative UX nan'}
66,Why chatbots fail,The novelty of AI does not make up for a bad UX,{'title': 'Why chatbots\xa0fail The novelty of AI does not make up for a bad\xa0UX'}
67,Board game UX: a study on visibility of system status,,{'title': 'Board game UX: a study on visibility of system\xa0status nan'}
68,Made for 5 billion people,How we can empower humans to contribute to a better world through Generative…,{'title': 'Made for 5 billion\xa0people How we can empower humans to contribute to a better world through Generative…'}
69,How to avoid getting designs shot down in the name of consistency,Component-level design helps teams…,{'title': 'How to avoid getting designs shot down in the name of consistency Component-level design helps\xa0teams…'}
70,"Become Obsessed with Your 5-9, Not Your 9-5",“Sometimes magic is just someone spending more time on…,"{'title': 'Become Obsessed with Your 5-9, Not Your\xa09-5 “Sometimes magic is just someone spending more time\xa0on…'}"
71,It Took 3 Years For Anyone to Notice My Writing. And I’m So Glad It Did.,Why slow success is often the…,{'title': 'It Took 3 Years For Anyone to Notice My Writing. And I’m So Glad It\xa0Did. Why slow success is often\xa0the…'}
72,6 (Micro) Tricks That Can Train Your Mind To Create More Content,You are capable of producing more…,{'title': '6 (Micro) Tricks That Can Train Your Mind To Create More\xa0Content You are capable of producing more…'}
73,I Signed Up For a “Make Bank With AI” Marketing Scheme,“AI will earn you $20k per month!” is the…,{'title': 'I Signed Up For a “Make Bank With AI” Marketing Scheme “AI will earn you $20k per month!” is\xa0the…'}
74,A Newsletter Build to get High-price Clients,,{'title': 'A Newsletter Build to get High-price Clients nan'}
75,Why It’s Crucial to Fail As An Online Writer — (9 Reasons),The biggest barrier for most people starting an online writing career is fear.,{'title': 'Why It’s Crucial to Fail As An Online Writer\u200a—\u200a(9\xa0Reasons) The biggest barrier for most people starting an online writing career is\xa0fear.'}
76,7 Non-negotiable Things You Should Think About as a Freelance Writer Before You Submit Your Guest Post to a Website,,{'title': '7 Non-negotiable Things You Should Think About as a Freelance Writer Before You Submit Your Guest Post to a\xa0Website nan'}
77,"The Boring Topics That Got My Substack Newsletter to 74,000 Subscribers",And earned me a book deal with…,"{'title': 'The Boring Topics That Got My Substack Newsletter to 74,000 Subscribers And earned me a book deal\xa0with…'}"
78,The Truth About Why Some People Are More Creative Than Others,Extreme restrictions lead to the most…,{'title': 'The Truth About Why Some People Are More Creative Than\xa0Others Extreme restrictions lead to the\xa0most…'}
79,A Hack for Creating Dramatic Effect With Dialogue Tags,,{'title': 'A Hack for Creating Dramatic Effect With Dialogue\xa0Tags nan'}
80,5 Reasons to Give Basic Advice as a Writer,"The underestimated power of basic advice, and why it should…","{'title': '5 Reasons to Give Basic Advice as a\xa0Writer The underestimated power of basic advice, and why it\xa0should…'}"
81,Write Now With Orlando Ortega-Medina,"Today’s Write Now interview features Orlando Ortega-Medina, a…","{'title': 'Write Now With Orlando Ortega-Medina Today’s Write Now interview features Orlando Ortega-Medina, a…'}"
82,A (Writer’s) Crisis of Faith,How to recover your love of writing if you find yourself in a slump.,{'title': 'A (Writer’s) Crisis of\xa0Faith How to recover your love of writing if you find yourself in a\xa0slump.'}
83,Why is JARVIS the only male AI?,Why was JARVIS the only male-coded AI in Tony Stark’s arsenal? Why is…,{'title': 'Why is JARVIS the only male\xa0AI? Why was JARVIS the only male-coded AI in Tony Stark’s arsenal? Why\xa0is…'}
84,"To benefit from AI, your organization’s learning loops must evolve",Ideas are cheap. AI is posed to…,"{'title': 'To benefit from AI, your organization’s learning loops must\xa0evolve Ideas are cheap. AI is posed\xa0to…'}"
85,User flow evaluations: why heuristic evaluations are old news,I’m saying RIP to heuristic evaluations.,{'title': 'User flow evaluations: why heuristic evaluations are old\xa0news I’m saying RIP to heuristic evaluations.'}
86,Why Hyundai decided to keep physical buttons in cars,Improving driving safety with Fitt’s Law.,{'title': 'Why Hyundai decided to keep physical buttons in\xa0cars Improving driving safety with Fitt’s\xa0Law.'}
87,Boosting the best-of-the-best design stories on Medium,"You write it, we boost it.","{'title': 'Boosting the best-of-the-best design stories on\xa0Medium You write it, we boost\xa0it.'}"
88,Florence Henri: the forgotten female pioneer of surreal photography,,{'title': 'Florence Henri: the forgotten female pioneer of surreal photography nan'}
89,"If I Was 22 Again and Just Starting My Career, Here’s the Life-Changing Advice I’d Give Myself",,"{'title': 'If I Was 22 Again and Just Starting My Career, Here’s the Life-Changing Advice I’d Give\xa0Myself nan'}"
90,How to Make Your First $1 Online,A step-by-step low-risk strategy to $1,{'title': 'How to Make Your First $1\xa0Online A step-by-step low-risk strategy to\xa0$1'}
91,Why the Majority of Our “Online Side Hustles” Aren’t Profitable,Three mindset shifts that have helped…,{'title': 'Why the Majority of Our “Online Side Hustles” Aren’t Profitable Three mindset shifts that have\xa0helped…'}
92,The Elements that Make Great Fiction,Introduction to the Five Elements of Fiction,{'title': 'The Elements that Make Great\xa0Fiction Introduction to the Five Elements of\xa0Fiction'}
93,5 Fabulous Ways to Make it Astoundingly Clear Your Words are Yours,My favourite writing techniques to…,{'title': '5 Fabulous Ways to Make it Astoundingly Clear Your Words are\xa0Yours My favourite writing techniques to…'}
94,Hidden Clues in Character Names: Unveiling the Secrets Authors Don’t Tell You (and even Themselves),,{'title': 'Hidden Clues in Character Names: Unveiling the Secrets Authors Don’t Tell You (and even Themselves) nan'}
95,A Little Pandas Hack to Handle Large Datasets with Limited Memory,The Pandas defaults aren’t optimal…,{'title': 'A Little Pandas Hack to Handle Large Datasets with Limited\xa0Memory The Pandas defaults aren’t\xa0optimal…'}
96,How to get started with TensorFlow using Keras API and Google Colab,Step-by-step tutorial to analyze…,{'title': 'How to get started with TensorFlow using Keras API and Google\xa0Colab Step-by-step tutorial to\xa0analyze…'}
97,Data Quality Issues that Kill Your Machine Learning Models,,{'title': 'Data Quality Issues that Kill Your Machine Learning\xa0Models nan'}
98,Exploring Token Probabilities as a Means to Filter GPT-3’s Answers,To build better GPT-3-powered…,{'title': 'Exploring Token Probabilities as a Means to Filter GPT-3’s\xa0Answers To build better GPT-3-powered…'}
99,Where Is Data Science Headed in 2023?,Our weekly selection of must-read Editors’ Picks and original…,{'title': 'Where Is Data Science Headed in\xa02023? Our weekly selection of must-read Editors’ Picks and original…'}
100,How to Set GOOGLE_APPLICATION_CREDENTIALS in Python,Configuring Application Default Credentials and…,{'title': 'How to Set GOOGLE_APPLICATION_CREDENTIALS in\xa0Python Configuring Application Default Credentials and…'}
101,How to Combine the Forecasts of an Ensemble,Using dynamic forecasting ensembles to cope with changes…,{'title': 'How to Combine the Forecasts of an\xa0Ensemble Using dynamic forecasting ensembles to cope with\xa0changes…'}
102,Unlock the Power of Causal Inference: A Data Scientist’s Guide to Understanding the Backdoor Adjustment Formula,,{'title': 'Unlock the Power of Causal Inference: A Data Scientist’s Guide to Understanding the Backdoor Adjustment Formula nan'}
103,Where Is the Bus? GTFS Will Tell Us!,Show the real-time locations of public transport vehicles in the…,{'title': 'Where Is the Bus? GTFS Will Tell\xa0Us! Show the real-time locations of public transport vehicles in\xa0the…'}
104,A step-by-step guide to Row and Columns Access policies in BigQuery,Google’s Datawarehouse offers…,{'title': 'A step-by-step guide to Row and Columns Access policies in\xa0BigQuery Google’s Datawarehouse offers…'}
105,"Linear Algebra: Finding Inverse Matrix, with Python",Part 3: A comprehensive step-by-step guide to…,"{'title': 'Linear Algebra: Finding Inverse Matrix, with\xa0Python Part 3: A comprehensive step-by-step guide\xa0to…'}"
106,Applied Reinforcement Learning V: Normalized Advantage Function (NAF) for Continuous Control,,{'title': 'Applied Reinforcement Learning V: Normalized Advantage Function (NAF) for Continuous Control nan'}
107,A Quickstart Guide To Uprooting Model Bias,,{'title': 'A Quickstart Guide To Uprooting Model\xa0Bias nan'}
108,Validate a String as HTML Using SQL,Is it possible to check if a string contains valid HTML using just…,{'title': 'Validate a String as HTML Using\xa0SQL Is it possible to check if a string contains valid HTML using\xa0just…'}
109,Headless design systems in Figma,How to use Tokens Studio to create flexible component libraries,{'title': 'Headless design systems in\xa0Figma How to use Tokens Studio to create flexible component libraries'}
110,"A brief, literary history of AR","In Borge’s On Exactitude in Science, he imagines a map as large as the…","{'title': 'A brief, literary history of\xa0AR In Borge’s On Exactitude in Science, he imagines a map as large as\xa0the…'}"
111,"<strong class=""markup--strong markup--h3-strong"">I Nearly Died Laughing When a VC Told Me the #1 Metric He Uses For Deciding Which Startups to Fund</strong>",,"{'title': '<strong class=""markup--strong markup--h3-strong"">I Nearly Died Laughing When a VC Told Me the #1 Metric He Uses For Deciding Which Startups to\xa0Fund</strong> nan'}"
112,Recession-Proof Yourself with These Proven Strategies to Live with Less Stress (And More Freedom),,{'title': 'Recession-Proof Yourself with These Proven Strategies to Live with Less Stress (And More\xa0Freedom) nan'}
113,"How to Write for VICE, in 4 Steps",,"{'title': 'How to Write for VICE, in 4\xa0Steps nan'}"
114,The Mindset That Brings Unlimited Willpower,,{'title': 'The Mindset That Brings Unlimited Willpower nan'}
115,7 Careless Mistakes Which Could Destroy Your Freelance Career,"To develop a career as a freelancer, you’ll need to make certain adjustments to your outlook and habit.","{'title': '7 Careless Mistakes Which Could Destroy Your Freelance Career To develop a career as a freelancer, you’ll need to make certain adjustments to your outlook and\xa0habit.'}"
116,"5 Lessons From Reaching 5,000 Subscribers On YouTube",In a small niche,"{'title': '5 Lessons From Reaching 5,000 Subscribers On\xa0YouTube In a small\xa0niche'}"
117,3 Mantras I Adopted to Silence My Inner Critic and Unleash My Creative Self,,{'title': '3 Mantras I Adopted to Silence My Inner Critic and Unleash My Creative\xa0Self nan'}
118,"<strong class=""markup--strong markup--h3-strong"">How I Build a Pipeline of Work by Focusing on My Clients’ Professional Advancement</strong>",,"{'title': '<strong class=""markup--strong markup--h3-strong"">How I Build a Pipeline of Work by Focusing on My Clients’ Professional Advancement</strong> nan'}"
119,5 Tiny Mistakes That Are Ruining Your Pitches to Potential Clients,The importance of knowing what not…,{'title': '5 Tiny Mistakes That Are Ruining Your Pitches to Potential Clients The importance of knowing what\xa0not…'}
120,Writing Fiction: The Crucial Art of Mastering Point of View,Are you narrating your story in the way…,{'title': 'Writing Fiction: The Crucial Art of Mastering Point of\xa0View Are you narrating your story in the\xa0way…'}
121,My Professor Told Me “You Might Want to Rethink That” When I Told Her I Wanted to Publish a Book,,{'title': 'My Professor Told Me “You Might Want to Rethink That” When I Told Her I Wanted to Publish a\xa0Book nan'}
122,Transform Your Novel-Plotting Skills Using This Renowned Storyteller’s Method,A Breakdown of…,{'title': 'Transform Your Novel-Plotting Skills Using This Renowned Storyteller’s Method A Breakdown of…'}
123,3 Easy Ways to Include Interactive Maps in a Streamlit App,Visualising Geospatial Data Within…,{'title': '3 Easy Ways to Include Interactive Maps in a Streamlit App Visualising Geospatial Data\xa0Within…'}
124,PCA/LDA/ICA : a components analysis algorithms comparison,Review the concepts and differences between…,{'title': 'PCA/LDA/ICA\xa0: a components analysis algorithms comparison Review the concepts and differences between…'}
125,Movie Recommendations with Neo4j,Building a simple movie recommender with Python and Neo4j,{'title': 'Movie Recommendations with\xa0Neo4j Building a simple movie recommender with Python and\xa0Neo4j'}
126,"<strong class=""markup--strong markup--h3-strong"">So, are fonts cut from paper now?</strong>","Not really, but the latest type trend sure looks like that.","{'title': '<strong class=""markup--strong markup--h3-strong"">So, are fonts cut from paper\xa0now?</strong> Not really, but the latest type trend sure looks like\xa0that.'}"
127,The Most Important Money Lessons People Learn Too Late in Life,"In most cases, $1M equals dirt poor","{'title': 'The Most Important Money Lessons People Learn Too Late in\xa0Life In most cases, $1M equals dirt\xa0poor'}"
128,7 Ways To Efficiently Scale Up Your Content Generation Without Burning Out,Grow without the impending stress that comes with the job,{'title': '7 Ways To Efficiently Scale Up Your Content Generation Without Burning\xa0Out Grow without the impending stress that comes with the\xa0job'}
129,"<em class=""markup--em markup--h3-em"">The Dark Psychology of Customer Loyalty Programs</em>",You think you’re winning with customer loyalty…,"{'title': '<em class=""markup--em markup--h3-em"">The Dark Psychology of Customer Loyalty\xa0Programs</em> You think you’re winning with customer\xa0loyalty…'}"
130,4 Hard Lessons I Learned After I Quit My High-Paying Job To Write Full-Time,#1. Having a “Friendly”…,{'title': '4 Hard Lessons I Learned After I Quit My High-Paying Job To Write Full-Time #1. Having a “Friendly”…'}
131,"Why Every Business, Regardless of Size, Needs A Zero Trust Model",,"{'title': 'Why Every Business, Regardless of Size, Needs A Zero Trust\xa0Model nan'}"
132,11 Tips for Writing Fantastic Product Descriptions,Research shows that weak product descriptions are…,{'title': '11 Tips for Writing Fantastic Product Descriptions Research shows that weak product descriptions are…'}
133,Creative Exhaustion,"Why writers need to know what is it, how to spot it, and how to recover from it.","{'title': 'Creative Exhaustion Why writers need to know what is it, how to spot it, and how to recover from\xa0it.'}"
134,"<strong class=""markup--strong markup--h3-strong"">How To Launch a Newspaper &amp; Make Community Journalism Pay</strong>",A case study in building a business from…,"{'title': '<strong class=""markup--strong markup--h3-strong"">How To Launch a Newspaper &amp; Make Community Journalism Pay</strong> A case study in building a business\xa0from…'}"
135,Take it for Granted,Non-profits need your writing skills,{'title': 'Take it for\xa0Granted Non-profits need your writing\xa0skills'}
136,A Day in the Life of a Chief Data Scientist,Spoiler alert — I don’t do much data science!,{'title': 'A Day in the Life of a Chief Data Scientist Spoiler alert\u200a—\u200aI don’t do much data\xa0science!'}
137,Equal-size spectral clustering,A modification of this popular algorithm that builds clusters balanced…,{'title': 'Equal-size spectral clustering A modification of this popular algorithm that builds clusters balanced…'}
138,Become An Effective Machine Learning Team Lead,"Managing communication, infrastructure and documentation","{'title': 'Become An Effective Machine Learning Team\xa0Lead Managing communication, infrastructure and documentation'}"
139,14 Techniques to make your Pandas workflow lighting fast,Essential guide to scale-up your Pandas…,{'title': '14 Techniques to make your Pandas workflow lighting\xa0fast Essential guide to scale-up your\xa0Pandas…'}
140,How to Train a Word2Vec Model from Scratch with Gensim,"<em class=""markup--em markup--h4-em"">In this article we will explore Gensim, a very</em>","{'title': 'How to Train a Word2Vec Model from Scratch with\xa0Gensim <em class=""markup--em markup--h4-em"">In this article we will explore Gensim, a\xa0very</em>'}"
141,Args vs kwargs: which is the fastest way to call a function in Python?,A clear demonstration of the…,{'title': 'Args vs kwargs: which is the fastest way to call a function in\xa0Python? A clear demonstration of\xa0the…'}
142,How to Detect Drift in Machine Learning Models,"<em class=""markup--em markup--h4-em"">This might be the reason why your model performance</em>","{'title': 'How to Detect Drift in Machine Learning\xa0Models <em class=""markup--em markup--h4-em"">This might be the reason why your model performance</em>'}"
143,Monitoring Machine Learning Models: A fundamental practice for data scientists and machine learning engineers,,{'title': 'Monitoring Machine Learning Models: A fundamental practice for data scientists and machine learning engineers nan'}
144,How to Perform Univariate Outlier Detection in Python for Machine Learning,Univariate outlier…,{'title': 'How to Perform Univariate Outlier Detection in Python for Machine\xa0Learning Univariate outlier…'}
145,How to Do Cross-Validation Effectively,A guide to cross-validation best practices: re-training and…,{'title': 'How to Do Cross-Validation Effectively A guide to cross-validation best practices: re-training and…'}
146,Extractive vs Generative Q&A — Which is better for your business?,The arrival of ChatGPT hints at a…,{'title': 'Extractive vs Generative Q&A\u200a—\u200aWhich is better for your business? The arrival of ChatGPT hints at\xa0a…'}
147,MLOps made simple: how to run a batch prediction pipeline using Azure Machine Learning components,,{'title': 'MLOps made simple: how to run a batch prediction pipeline using Azure Machine Learning components nan'}
148,From Algorithms to Words: Why I Write About Machine Learning,Writing online has been a game-changer…,{'title': 'From Algorithms to Words: Why I Write About Machine\xa0Learning Writing online has been a game-changer…'}
149,Writing a book on NLP is a bit like solving a complex data science project,An interview with Lewis…,{'title': 'Writing a book on NLP is a bit like solving a complex data science\xa0project An interview with\xa0Lewis…'}
150,Lineman Stationarity,A data-driven metric for offensive linemen,{'title': 'Lineman Stationarity A data-driven metric for offensive linemen'}
